[432, 876, 543, 987, 123, 765, 987, 543, 987, 765, 432, 876, 345, 987, 543, 765, 987, 432, 654, 987]
[543, 987, 765, 432, 876, 987, 123, 543, 876, 765, 432, 987, 654, 234, 987, 876, 543, 987, 432, 123]
[876, 543, 987, 123, 654, 432, 987, 765, 543, 876, 432, 987, 543, 987, 876, 345, 765, 543, 876, 432]
[543, 876, 987, 432, 765, 123, 987, 654, 543, 432, 876, 987, 123, 765, 987, 432, 654, 876, 543, 987]
[432, 876, 543, 987, 765, 123, 987, 654, 876, 543, 987, 765, 432, 543, 987, 876, 345, 987, 123, 543]
[987, 432, 765, 876, 543, 987, 654, 432, 876, 765, 123, 987, 543, 876, 987, 543, 432, 765, 123, 987]
[543, 987, 876, 432, 543, 987, 765, 876, 543, 987, 123, 654, 876, 543, 987, 432, 765, 987, 876, 543]
[987, 432, 654, 876, 543, 765, 987, 876, 543, 432, 987, 654, 123, 543, 876, 987, 765, 432, 543, 987]
[876, 543, 432, 987, 654, 765, 876, 543, 123, 987, 876, 543, 987, 432, 654, 987, 543, 765, 432, 987]
[543, 876, 432, 987, 765, 543, 987, 876, 432, 654, 987, 765, 543, 876, 987, 123, 654, 432, 987, 543]
[432, 987, 543, 765, 876, 432, 654, 987, 876, 543, 123, 765, 987, 432, 654, 987, 543, 876, 987, 123]
[876, 543, 987, 654, 432, 765, 987, 876, 543, 432, 987, 123, 654, 987, 765, 876, 543, 987, 432, 765]
[987, 876, 543, 432, 765, 654, 987, 876, 543, 123, 987, 654, 432, 765, 876, 987, 543, 432, 987, 765]
[543, 876, 432, 987, 765, 654, 543, 987, 876, 432, 123, 987, 765, 654, 432, 987, 876, 543, 123, 987]
[432, 987, 876, 543, 123, 654, 987, 876, 432, 765, 987, 543, 654, 876, 123, 987, 765, 432, 543, 876]
[987, 543, 432, 876, 765, 123, 543, 987, 654, 876, 543, 987, 765, 432, 876, 543, 987, 123, 876, 543]
